first_index,all_indices,title_hi,title_en,youtube_url,tags
637,637,सर्वमङ्गलमाङ्गल्ये शिवे सर्वार्थसाधिके,Sarvamangalamangalye Shive Sarvarthasadhike,https://youtu.be/ZdBVEV5u2To?si=em-5O2iYoV9z50BF,"DurjaJi, Navratri, Shloka, Wealth"
638,638,क्लीं बीज मंत्र,Kleem Beej Mantra,https://youtu.be/UHtAU58ELkE?si=yxeapbxaw_kJ1bNd,"LoveAndRelationship, Mantra"
639,639,कामदेव गायत्री,Kamdev Gayatri,https://youtu.be/9kCXXD5q_pU?si=_RY68kIVPMHzXFvS,"LoveAndRelationship, Mantra"
640,640,कात्यायनी मंत्र,Katyayani Mantra,https://youtu.be/6YC07U56lEE?si=yMIUoQan-D0osO7O,"Happiness, LoveAndRelationship, Mantra, Stuti"
641,641,पत्नी प्राप्ति मंत्र,Patni Prapti Mantra,https://youtu.be/LuWevgdKr9Q?si=HhnO6BMkATAi6ph8,"LoveAndRelationship, Mantra"
642,642,गौरी-शंकर मंत्र,Gauri-Shankar Mantra,https://youtu.be/5kYzdHgQ0Sc?si=0oKvROBFY-KkJgc3,"LoveAndRelationship, Mantra"
643,643,विष्णु-लक्ष्मी मंत्र,Vishnu-Lakshmi Mantra,https://youtu.be/4-XRc7ofCkM?si=X27vyybJleAeslG2,"LoveAndRelationship, Mantra, Wealth"
644,644,शिव शक्ति मंत्र,Shiv Shakti Mantra,https://youtu.be/Ly_Md1OOyTE?si=ni-k1rrLMF2suMfD,"LoveAndRelationship, MahaShivratri, Mantra, Shivji"
645,645,रुद्र मंत्र,Rudra Mantra,https://youtu.be/bc1obsjb58c?si=oQIb1G1Fx1wOJ8Gw,"LoveAndRelationship, Mantra, Peace, Shivji, Strength"
646,646,अर्धनारीश्वर मंत्र,Ardhanarishwar Mantra,https://youtu.be/x59vh8Wga9A?si=yJ0p8EUrHmBJleRO,"LoveAndRelationship, Mantra"
