youtube_video_id,tags,occurrence_count,unique_url_count,sample_url,line_numbers,titles
BIK_VYd2RQw,Health|Stuti|Success,2,1,https://youtu.be/BIK_VYd2RQw?si=XrxIX1rsAAm4V_V9,1141|1213,आदित्य स्तुति | सूर्य स्तुति
BL5lLnsLUrA,Diwali|Katha|LakshmiJi,2,2,https://youtu.be/BL5lLnsLUrA?si=gbst_MpkoyNGs-vd,331|1296,माता लक्ष्मी का अवतार | लक्ष्मी जी की अवतार कथा |
BLVWder8V9I,GaneshJi|Mantra,1,1,https://youtu.be/BLVWder8V9I?si=ZzhUqV7dwH-dI-sP,454,ॐ विकटाय नमः
BLn-f2DZN4Y,Mantra|Peace|VishnuJi,2,1,https://youtu.be/BLn-f2DZN4Y?si=tdz0GGjNGQIWYzX4,220|751,नारायण मंत्र | ॐ नमो नारायणाय
BMHSi1dzXzs,Bhajan|GaneshJi,1,1,https://youtu.be/BMHSi1dzXzs?si=rn151FPk0nrcDwwa,205,हे गौरी नंदन तुमको वन्दन
BYDOl5Sm-HE,HanumanJi|Mantra,1,1,https://youtu.be/BYDOl5Sm-HE?si=80FQdV8AYyPkhQOY,86,रुद्रावतार हनुमान मंत्र (मूल मंत्र:)
BhrCfQ0xyp8,Ashtakam|GaneshChaturthi|GaneshJi,2,1,https://youtu.be/BhrCfQ0xyp8?si=Y8ihF6eLhRKE0QZ1,474|1461,गणेश अष्टकम
BhwOproElxU,Aarti|Shivji,1,1,https://youtu.be/BhwOproElxU?si=hlOKkSda3B3Cka2O,47,ॐ जय शिव ओंकारा
BjvVJOS7xPE,HanumanJi|Strotam,1,1,https://youtu.be/BjvVJOS7xPE?si=NtPLuZzAbGNbe6gO,101,श्री आञ्जनेय द्वादशनाम स्तोत्रम्
BmoR0Wdw62Y,DurjaJi|Mantra,1,1,https://youtu.be/BmoR0Wdw62Y?si=XrxETRzByga49y4q,602,सृष्टिस्थितिविनाशानां शक्तिभूते सनातनि। गुणाश्रये गुणमये नारायणि नमोऽस्तुते॥
BsEqI1NZA-E,Ashtakam|Strength,1,1,https://youtu.be/BsEqI1NZA-E?si=BvvWKg3Y9kURK_Uu,826,कालभैरव अष्टकम
BugLdlv5EpQ,HanumanJayanti|Strotam,1,1,https://youtu.be/BugLdlv5EpQ?si=8ecd3j02yZo22upS,1543,एकमुखी हनुमत् कवच
BzPbfftJ8Ho,HanumanJayanti|Strength|Strotam,2,2,https://youtu.be/BzPbfftJ8Ho?si=D5a89g51GA88L_N_,822|1544,पंचमुखी हनुमान कवच
BzUBWzgXJnc,Ramji|Shloka,1,1,https://youtu.be/BzUBWzgXJnc?si=VOpDb7Yr370nkHUN,422,लोकाभिरामं रणरंगधीरं राजीवनेत्रं रघुवंशनाथम्। कारुण्यरूपं करुणाकरं तं श्रीरामचन्द्रं शरणं प्रपद्ये॥
C9EespXQCGE,Bhajan|Happiness|Health|Success,3,1,https://youtu.be/C9EespXQCGE?si=IyEpmHHsEOLzOuXF,1092|1155|1233,मेरा आपकी कृपा से
CA8RcKyO0Y4,Dussehra|Mantra|RamNavami|Ramji,3,1,https://youtu.be/CA8RcKyO0Y4?si=lQGTY9Ov96Uhu8JI,385|1349|1488,राम मूल मंत्र | विजय मंत्र | ॐ रामाय नमः
CAc9h7oTjrM,PoojaKeSamay|Shloka|VishnuJi,2,2,https://youtu.be/CAc9h7oTjrM?si=VVFbSow3YEgGraj0,261|709,अर्पण मंत्र | कायेन वाचा
